pair_id,food_category_code,food_category,waste_reason_code,waste_reason,food_is_residual,reason_is_residual,pairing_method,joint_distribution_status,random_seed
PAIR_053,MILK_PRODUCTS,Milk products,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_054,VEGETABLES_POTATOES,Vegetables and potatoes,OTHER_REASON,Other reason,false,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_055,FRUITS_BERRIES,Fruits and berries,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_056,MILK_PRODUCTS,Milk products,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_057,OTHER_FOOD,Other food,SPOILED_MOULDY,Spoiled or mouldy,true,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_058,HOME_COOKED_FOOD,Home-cooked food,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_059,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_060,HOME_COOKED_FOOD,Home-cooked food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_061,FRUITS_BERRIES,Fruits and berries,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_062,MILK_PRODUCTS,Milk products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_063,HOME_COOKED_FOOD,Home-cooked food,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_064,BAKERY_GRAINS,Bakery and grain products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_065,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_066,MILK_PRODUCTS,Milk products,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_067,HOME_COOKED_FOOD,Home-cooked food,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_068,FRUITS_BERRIES,Fruits and berries,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_069,BAKERY_GRAINS,Bakery and grain products,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_070,MILK_PRODUCTS,Milk products,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_071,MEAT_FISH_EGGS,"Meat, fish and eggs",DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_072,MILK_PRODUCTS,Milk products,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_073,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_074,HOME_COOKED_FOOD,Home-cooked food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_075,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_076,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_077,HOME_COOKED_FOOD,Home-cooked food,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_078,MEAT_FISH_EGGS,"Meat, fish and eggs",SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_079,BAKERY_GRAINS,Bakery and grain products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_080,HOME_COOKED_FOOD,Home-cooked food,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_081,HOME_COOKED_FOOD,Home-cooked food,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_082,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_083,FRUITS_BERRIES,Fruits and berries,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_084,HOME_COOKED_FOOD,Home-cooked food,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_085,BAKERY_GRAINS,Bakery and grain products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_086,VEGETABLES_POTATOES,Vegetables and potatoes,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_087,FRUITS_BERRIES,Fruits and berries,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_088,FRUITS_BERRIES,Fruits and berries,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_089,CONVENIENCE_TAKEAWAY,Convenience and takeaway food,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_090,FRUITS_BERRIES,Fruits and berries,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_091,RICE_PASTA,Rice and pasta,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_092,VEGETABLES_POTATOES,Vegetables and potatoes,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_093,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_094,BAKERY_GRAINS,Bakery and grain products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_095,VEGETABLES_POTATOES,Vegetables and potatoes,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_096,FRUITS_BERRIES,Fruits and berries,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_097,HOME_COOKED_FOOD,Home-cooked food,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_098,RICE_PASTA,Rice and pasta,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_099,MILK_PRODUCTS,Milk products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_100,HOME_COOKED_FOOD,Home-cooked food,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
